"Time","Mob BP1"
2022-02-15 15:00:03,35.0
2022-02-15 15:30:03,34.0
2022-02-15 16:00:03,33.5
2022-02-15 16:30:03,33.2
2022-02-15 17:00:03,33.0
2022-02-15 17:30:03,33.0
2022-02-15 18:00:03,32.7
2022-02-15 18:30:03,34.1
2022-02-15 19:00:03,33.7
2022-02-15 20:00:03,33.6
2022-02-15 20:30:03,33.8
2022-02-15 21:00:03,33.8
2022-02-15 21:30:03,33.0
2022-02-15 22:00:03,33.6
2022-02-15 22:30:03,34.0
2022-02-15 23:00:03,34.5
2022-02-15 23:30:03,34.4
2022-02-16 00:30:03,34.9
2022-02-16 01:00:03,34.9
2022-02-16 01:30:03,35.0
2022-02-16 02:00:03,35.0
2022-02-16 02:30:03,34.4
2022-02-16 03:00:03,34.0
2022-02-16 03:30:03,33.9
2022-02-16 04:00:03,33.7
2022-02-16 04:30:03,33.5
2022-02-16 05:00:03,32.8
2022-02-16 05:30:03,32.3
2022-02-16 06:00:03,32.3
2022-02-16 06:30:03,31.5
2022-02-16 07:00:03,31.2
2022-02-16 07:30:03,30.8
2022-02-16 08:00:03,30.9
2022-02-16 08:30:03,33.9
2022-02-16 08:35:03,45.9
2022-02-16 08:40:03,56.9
2022-02-16 09:00:03,57.4
2022-02-16 09:05:03,49.2
2022-02-16 09:10:03,36.7
2022-02-16 09:30:03,27.8
2022-02-16 09:45:03,33.1
2022-02-16 10:00:03,37.1
2022-02-16 10:20:03,43.0
2022-02-16 10:30:03,44.7
2022-02-16 11:00:03,49.3
2022-02-16 11:30:03,51.1
2022-02-16 12:00:03,52.1
2022-02-16 12:30:03,52.1
2022-02-16 13:00:03,50.2
2022-02-16 13:30:03,50.5
2022-02-16 14:00:03,50.5
2022-02-16 14:30:03,50.2
2022-02-16 14:55:03,58.5
2022-02-16 15:00:03,57.8
2022-02-16 15:20:03,51.7
2022-02-16 15:30:03,50.1
2022-02-16 16:00:03,49.0
2022-02-16 16:30:03,47.9
2022-02-16 17:00:03,46.9
2022-02-16 17:30:03,45.9
2022-02-16 18:00:03,45.4
2022-02-16 18:30:03,44.9
2022-02-16 19:00:03,44.2
2022-02-16 19:15:03,38.1
2022-02-16 19:30:03,43.3
2022-02-16 20:00:03,45.2
2022-02-16 20:30:03,45.0
2022-02-16 21:00:03,44.2
2022-02-16 21:30:03,44.3
2022-02-16 22:00:03,44.3
2022-02-16 22:30:03,44.3
2022-02-16 23:00:03,43.8
2022-02-17 00:00:03,44.1
2022-02-17 00:30:03,42.9
2022-02-17 01:00:03,42.9
2022-02-17 01:30:03,43.4
