"Time","Mob BP1"
2022-02-16 03:30:03,0.295
2022-02-16 04:00:03,0.293
2022-02-16 04:30:03,0.287
2022-02-16 05:00:03,0.273
2022-02-16 05:30:03,0.262
2022-02-16 06:00:03,0.262
2022-02-16 06:30:03,0.246
2022-02-16 07:00:03,0.241
2022-02-16 07:30:03,0.233
2022-02-16 08:00:03,0.235
2022-02-16 08:30:03,0.297
2022-02-16 08:35:03,0.631
2022-02-16 08:40:03,1.08
2022-02-16 09:00:03,1.11
2022-02-16 09:05:03,0.751
2022-02-16 09:10:03,0.361
2022-02-16 09:30:03,0.181
2022-02-16 09:45:03,0.280
2022-02-16 10:00:03,0.371
2022-02-16 10:20:03,0.538
2022-02-16 10:30:03,0.590
2022-02-16 11:00:03,0.757
2022-02-16 11:30:03,0.825
2022-02-16 12:00:03,0.865
2022-02-16 12:30:03,0.868
2022-02-16 13:00:03,0.790
2022-02-16 13:30:03,0.804
2022-02-16 14:00:03,0.801
2022-02-16 14:30:03,0.789
2022-02-16 14:55:03,1.16
2022-02-16 15:00:03,1.13
2022-02-16 15:20:03,0.851
2022-02-16 15:30:03,0.787
2022-02-16 16:00:03,0.746
2022-02-16 16:30:03,0.704
2022-02-16 17:00:03,0.666
2022-02-16 17:30:03,0.633
2022-02-16 18:00:03,0.614
2022-02-16 18:30:03,0.598
2022-02-16 19:00:03,0.574
2022-02-16 19:15:03,0.396
2022-02-16 19:30:03,0.548
2022-02-16 20:00:03,0.608
2022-02-16 20:30:03,0.600
2022-02-16 21:00:03,0.575
2022-02-16 21:30:03,0.579
2022-02-16 22:00:03,0.578
2022-02-16 22:30:03,0.577
2022-02-16 23:00:03,0.564
2022-02-17 00:00:03,0.573
2022-02-17 00:30:03,0.533
2022-02-17 01:00:03,0.534
2022-02-17 01:30:03,0.548
2022-02-17 02:00:03,0.545
2022-02-17 02:30:03,0.543
2022-02-17 03:00:03,0.553
2022-02-17 03:30:03,0.550
2022-02-17 04:00:03,0.559
2022-02-17 04:30:03,0.573
2022-02-17 05:00:03,0.535
2022-02-17 05:30:03,0.583
2022-02-17 06:00:03,0.335
2022-02-17 06:10:03,0.490
2022-02-17 06:30:03,0.547
2022-02-17 07:00:03,0.581
2022-02-17 07:30:03,0.561
2022-02-17 08:00:03,0.646
2022-02-17 08:30:03,0.700
2022-02-17 09:00:03,0.630
2022-02-17 09:10:03,0.991
2022-02-17 09:20:03,0.652
2022-02-17 09:25:03,0.375
2022-02-17 09:30:03,0.194
2022-02-17 10:00:03,0.146
2022-02-17 10:30:03,0.294
2022-02-17 10:35:03,0.549
2022-02-17 10:50:03,0.352
2022-02-17 11:00:03,0.264
2022-02-17 11:30:03,0.200
2022-02-17 12:00:03,0.204
2022-02-17 12:05:03,0.305
2022-02-17 12:25:03,0.493
2022-02-17 12:30:03,0.454
2022-02-17 12:40:03,0.311
2022-02-17 13:05:03,1.64
2022-02-17 13:20:03,2.01
2022-02-17 13:30:03,2.79
2022-02-17 13:40:03,2.16
2022-02-17 14:00:03,1.81
2022-02-17 14:30:03,1.86
2022-02-17 15:00:03,1.72
2022-02-17 15:30:03,1.69
2022-02-17 15:45:03,1.39
2022-02-17 16:00:03,1.35
2022-02-17 16:30:03,1.20
2022-02-17 17:00:03,1.08
2022-02-17 17:30:03,1.05
2022-02-17 18:00:03,1.03
2022-02-17 18:30:03,0.954
2022-02-17 19:00:03,0.920
2022-02-17 19:30:03,0.904
2022-02-17 20:00:03,0.872
2022-02-17 20:30:03,0.862
2022-02-17 21:00:03,0.849
2022-02-17 21:30:03,0.859
2022-02-17 22:00:03,0.813
2022-02-17 22:30:03,0.767
2022-02-17 23:00:03,0.758
2022-02-17 23:30:03,0.738
2022-02-18 00:00:03,0.721
2022-02-18 00:30:03,0.712
2022-02-18 01:00:03,0.707
2022-02-18 01:30:03,0.807
2022-02-18 02:00:03,0.765
2022-02-18 02:30:03,0.759
2022-02-18 03:00:03,0.757
2022-02-18 03:30:03,0.738
2022-02-18 04:00:03,0.731
2022-02-18 04:30:03,0.739
2022-02-18 05:30:03,0.726
2022-02-18 06:00:03,0.714
2022-02-18 06:30:03,0.720
2022-02-18 07:00:03,0.726
2022-02-18 07:30:03,0.714
2022-02-18 07:55:03,1.15
2022-02-18 08:00:03,1.67
2022-02-18 08:25:03,1.12
2022-02-18 08:30:03,0.728
2022-02-18 09:00:03,0.424
2022-02-18 09:05:03,0.649
2022-02-18 09:25:03,1.35
2022-02-18 09:30:03,0.637
2022-02-18 09:35:03,0.341
2022-02-18 09:40:03,0.509
2022-02-18 10:00:03,0.499
2022-02-18 10:30:03,0.461
2022-02-18 11:00:03,0.503
2022-02-18 11:25:03,0.352
2022-02-18 11:30:03,0.579
2022-02-18 12:00:03,0.569
2022-02-18 12:30:03,0.595
2022-02-18 13:00:03,0.624
2022-02-18 13:30:03,0.656
2022-02-18 14:00:03,0.665
2022-02-18 14:30:03,0.746
2022-02-18 15:00:03,0.624
2022-02-18 15:15:03,0.813
2022-02-18 15:30:03,0.938
2022-02-18 16:00:03,0.932
2022-02-18 16:30:03,0.982
2022-02-18 17:00:03,1.03
2022-02-18 17:30:03,1.01
2022-02-18 18:00:03,0.988
2022-02-18 18:30:03,0.994
2022-02-18 19:00:03,0.982
2022-02-18 19:30:03,0.965
2022-02-18 20:00:03,0.952
2022-02-18 20:30:03,0.942
