"Time","MP BP1"
2021-10-19 15:30:03,15.5
2021-10-19 16:00:03,15.1
2021-10-19 16:30:03,14.3
2021-10-19 17:00:03,13.8
2021-10-19 17:30:03,13.5
2021-10-19 18:00:03,13.1
2021-10-19 18:30:03,12.9
2021-10-19 19:00:03,12.9
2021-10-19 19:30:03,12.7
2021-10-19 20:00:03,12.4
2021-10-19 20:30:03,12.1
2021-10-19 21:00:03,11.8
2021-10-19 21:30:03,11.8
2021-10-19 23:00:03,11.4
2021-10-19 23:30:03,10.7
2021-10-20 00:00:03,10.3
2021-10-20 00:30:03,9.75
2021-10-20 01:00:03,10.3
2021-10-20 01:30:03,10.1
2021-10-20 02:00:03,10.0
2021-10-20 02:30:03,9.98
2021-10-20 03:00:03,9.25
2021-10-20 03:30:03,8.68
2021-10-20 03:50:03,8.67
2021-10-20 04:30:03,8.69
2021-10-20 05:00:03,8.56
2021-10-20 05:30:03,8.79
2021-10-20 06:30:03,7.77
2021-10-20 07:00:03,6.90
2021-10-20 07:30:03,5.10
2021-10-20 08:00:03,4.35
2021-10-20 08:30:03,4.35
2021-10-20 09:00:03,7.57
2021-10-20 09:30:03,11.2
2021-10-20 10:00:03,12.7
2021-10-20 11:00:03,21.4
2021-10-20 11:30:03,23.5
2021-10-20 12:00:03,23.3
2021-10-20 12:30:03,23.1
2021-10-20 13:00:03,22.6
2021-10-20 13:30:03,22.7
2021-10-20 14:30:03,23.3
2021-10-20 15:00:03,21.4
2021-10-20 15:25:03,20.7
2021-10-20 15:30:03,20.5
2021-10-20 16:00:03,19.4
2021-10-20 16:30:03,18.1
2021-10-20 17:00:03,18.2
2021-10-20 17:30:03,17.8
2021-10-20 18:00:03,16.8
2021-10-20 18:30:03,16.1
2021-10-20 19:00:03,15.7
2021-10-20 19:30:03,15.2
2021-10-20 20:00:03,15.3
2021-10-20 20:30:03,15.4
2021-10-20 21:00:03,15.2
2021-10-20 21:30:03,14.2
2021-10-20 22:00:03,12.9
2021-10-20 22:30:03,13.1
2021-10-20 23:00:03,14.7
2021-10-20 23:30:03,14.7
2021-10-21 00:00:03,14.9
2021-10-21 00:30:03,14.9
2021-10-21 01:00:03,14.3
2021-10-21 01:30:03,12.9
2021-10-21 02:00:03,12.0
2021-10-21 02:30:03,12.0
2021-10-21 03:00:03,11.8
2021-10-21 03:30:03,11.4
2021-10-21 04:00:03,11.6
2021-10-21 04:30:03,11.8
2021-10-21 05:00:03,11.6
2021-10-21 05:30:03,11.7
2021-10-21 06:00:03,11.8
2021-10-21 06:30:03,11.8
2021-10-21 07:00:03,11.7
2021-10-21 07:30:03,11.6
2021-10-21 08:10:03,11.9
2021-10-21 08:20:03,11.9
2021-10-21 09:00:03,12.3
2021-10-21 09:30:03,13.2
2021-10-21 10:00:03,14.4
2021-10-21 10:30:03,14.8
2021-10-21 11:00:03,16.9
2021-10-21 11:20:03,17.0
2021-10-21 11:30:03,17.3
2021-10-21 12:00:03,17.7
2021-10-21 12:20:03,17.4
2021-10-21 13:00:03,16.1
2021-10-21 13:30:03,15.7
2021-10-21 14:00:03,15.8
2021-10-21 15:00:03,12.9
2021-10-21 15:30:03,15.3
2021-10-21 16:30:03,13.6
2021-10-21 17:00:03,12.4
2021-10-21 17:30:03,11.1
2021-10-21 18:30:03,8.96
2021-10-21 19:00:03,8.68
2021-10-21 19:30:03,8.36
2021-10-21 20:00:03,8.06
2021-10-21 20:30:03,7.67
2021-10-21 21:00:03,7.46
2021-10-21 21:30:03,7.26
2021-10-21 22:00:03,7.66
2021-10-21 22:30:03,8.76
2021-10-21 23:00:03,7.85
2021-10-21 23:30:03,7.07
2021-10-22 00:00:03,6.48
2021-10-22 00:25:03,6.15
2021-10-22 00:40:03,6.11
2021-10-22 01:00:03,6.10
2021-10-22 01:30:03,5.65
2021-10-22 02:00:03,5.32
2021-10-22 02:30:03,5.25
2021-10-22 03:00:03,5.20
2021-10-22 03:30:03,5.61
2021-10-22 04:30:03,3.86
2021-10-22 05:00:03,2.33
2021-10-22 05:30:03,2.09
2021-10-22 06:00:03,1.94
2021-10-22 06:30:03,1.59
2021-10-22 07:00:03,0.924
2021-10-22 07:30:03,0.225
2021-10-22 08:30:03,1.53
2021-10-22 09:00:03,3.58
2021-10-22 09:30:03,5.92
2021-10-22 10:00:03,7.45
2021-10-22 10:30:03,11.6
2021-10-22 11:00:03,12.6
2021-10-22 11:30:03,12.9
2021-10-22 12:00:03,14.2
2021-10-22 13:00:03,10.9
2021-10-22 14:00:03,13.4
2021-10-22 14:30:03,13.4
2021-10-22 15:00:03,13.6
2021-10-22 16:00:03,12.7
2021-10-22 16:30:03,12.8
2021-10-22 17:00:03,11.8
2021-10-22 17:30:03,9.06
2021-10-22 18:00:03,6.98
2021-10-22 18:30:03,6.07
2021-10-22 19:00:03,6.18
2021-10-22 19:30:03,5.94
2021-10-22 20:00:03,5.62
2021-10-22 20:30:03,6.17
2021-10-22 21:00:03,6.66
2021-10-22 21:30:03,6.79
2021-10-22 22:00:03,6.63
2021-10-22 22:30:03,6.50
2021-10-22 23:00:03,5.97
2021-10-22 23:30:03,5.15
2021-10-23 00:00:03,5.61
2021-10-23 01:00:03,5.37
2021-10-23 01:30:03,5.06
2021-10-23 02:00:03,4.69
2021-10-23 02:30:03,4.40
2021-10-23 03:00:03,3.88
2021-10-23 04:30:03,1.85
2021-10-23 05:00:03,1.82
2021-10-23 05:30:03,1.74
2021-10-23 06:00:03,0.505
2021-10-23 06:30:03,-0.47
2021-10-23 07:30:03,-1.5
2021-10-23 08:00:03,-1.8
2021-10-23 08:30:03,-0.65
2021-10-23 09:30:03,4.30
2021-10-23 10:00:03,5.73
2021-10-23 10:30:03,10.6
2021-10-23 11:00:03,14.2
2021-10-23 11:30:03,15.8
2021-10-23 13:00:03,14.4
2021-10-23 13:30:03,16.2
2021-10-23 14:00:03,13.2
2021-10-23 14:30:03,12.2
2021-10-23 15:00:03,10.4
2021-10-23 15:30:03,9.84
2021-10-23 16:00:03,10.5
2021-10-23 17:30:03,8.16
2021-10-23 18:00:03,6.18
2021-10-23 18:30:03,4.86
2021-10-23 19:00:03,2.89
2021-10-23 19:30:03,0.644
2021-10-23 20:00:03,-0.76
2021-10-23 20:30:03,-1.4
2021-10-23 21:00:03,-1.3
2021-10-23 21:30:03,-1.3
2021-10-23 22:30:03,-2.6
2021-10-23 23:00:03,-3.1
2021-10-23 23:30:03,-3.5
2021-10-24 00:00:03,-3.8
2021-10-24 01:00:03,-4.4
2021-10-24 01:30:03,-4.7
2021-10-24 02:00:03,-5.0
2021-10-24 02:30:03,-5.2
2021-10-24 03:00:03,-5.3
2021-10-24 03:30:03,-5.5
2021-10-24 04:30:03,-5.9
2021-10-24 05:00:03,-6.1
